tf_gene_name	uniprot_id	uniprot_ac	gene_names	tf_superclass	tf_class	tf_family	tf_subfamily	tf_genus	tf_molecular_species	cisbp_families	cisbp_dbds
ADNP	ADNP_HUMAN	Q9H2P0	ADNP:ADNP1:KIAA0784	Zinc-coordinating DNA-binding domains{2}:Helix-turn-helix domains{3}	C2H2 zinc finger factors{2.3}:Homeo domain factors{3.1}	Factors with multiple dispersed zinc fingers{2.3.4}:HD-ZF factors{3.1.8}	unclassified{2.3.4.0}:ADNP{3.1.8.1}	ADNP (ADNP1){2.3.4.0.77}:ADNP1{3.1.8.1.1}			
AFF4	AFF4_HUMAN	Q9UHB7	AFF4:AF5Q31:MCEF:HSPC092								
AHR	AHR_HUMAN	P35869	AHR:BHLHE76	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	PAS domain factors{1.2.5}	Ahr-like factors{1.2.5.1}	AhR{1.2.5.1.1}			
AIRE	AIRE_HUMAN	O43918	AIRE:APECED	alpha-Helices exposed by beta-structures{5}	SAND domain factors{5.3}	AIRE{5.3.1}	AIRE{5.3.1.0.1}	AIRE{5.3.1.0.1}	AIRE-1, isoform 1{5.3.1.0.1.1}:AIRE-2, isoform 2{5.3.1.0.1.2}:AIRE-3, isoform 3{5.3.1.0.1.3}:AIRE, isoform 4{5.3.1.0.1.4}		
ALX1	ALX1_HUMAN	Q15699	ALX1:CART1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	ALX{3.1.3.1}	ALX-1 (CART-1){3.1.3.1.1}		Homeodomain	Homeobox
ALX3	ALX3_HUMAN	O95076	ALX3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	ALX{3.1.3.1}	ALX-3{3.1.3.1.2}		Homeodomain	Homeobox
ALX4	ALX4_HUMAN	Q9H161	ALX4:KIAA1788	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	ALX{3.1.3.1}	ALX-4{3.1.3.1.3}		Homeodomain	Homeobox
ANHX	ANHX_HUMAN	E9PGG2	ANHX							Homeodomain	Homeobox
AR	ANDR_HUMAN	P10275	AR:DHTR:NR3C4	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	Steroid hormone receptors (NR3){2.1.1}	GR-like receptors (NR3C){2.1.1.1}	Androgen receptor (AR) (NR3C4){2.1.1.1.4}	AR-A, isoform 2{2.1.1.1.4.1}:AR-B, isoform 1{2.1.1.1.4.2}	Nuclear receptor	zf-C4
ARGFX	ARGFX_HUMAN	A6NJG6	ARGFX	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	ARGFX{3.1.3.2}	ARGFX{3.1.3.2.1}		Homeodomain	Homeobox
ARID1B	ARI1B_HUMAN	Q8NFD5	ARID1B:BAF250B:DAN15:KIAA1235:OSA2	Helix-turn-helix domains{3}	ARID domain factors{3.7}	ARID-related factors{3.7.1}	ARID1{3.7.1.1}	ARID1B (BAF250, BAF250A, OSA1, SMARCF1){3.7.1.1.2}	ARID1B, isoform 1{3.7.1.1.2.1}:ARID1B, isoform 2{3.7.1.1.2.2}:ARID1B, isoform 3{3.7.1.1.2.3}:ARID1B, isoform 4{3.7.1.1.2.4}		
ARID2	ARID2_HUMAN	Q68CP9	ARID2:BAF200:KIAA1557	Helix-turn-helix domains{3}	ARID domain factors{3.7}	ARID-related factors{3.7.1}	ARID2{3.7.1.2}	ARID2 (BAF200){3.7.1.2.1}	ARID2, isoform 1{3.7.1.2.1.1}:ARID2, isoform 2{3.7.1.2.1.2}		
ARID3A	ARI3A_HUMAN	Q99856	ARID3A:DRIL1:DRIL3:DRX:E2FBP1	Helix-turn-helix domains{3}	ARID domain factors{3.7}	ARID-related factors{3.7.1}	ARID3{3.7.1.3}	ARID3A (Bright, DRIL1, DRIL3, DRX, E2FBP1){3.7.1.3.1}			
ARID3B	ARI3B_HUMAN	Q8IVW6	ARID3B:BDP:DRIL2	Helix-turn-helix domains{3}	ARID domain factors{3.7}	ARID-related factors{3.7.1}	ARID3{3.7.1.3}	ARID3B (BDP, DRIL2){3.7.1.3.2}	ARID3B, isoform 1{3.7.1.3.2.1}:ARID3B, isoform 3{3.7.1.3.2.2}:ARID3B, isoform 4{3.7.1.3.2.3}	ARID/BRIGHT	ARID
ARID5B	ARI5B_HUMAN	Q14865	ARID5B:DESRT:MRF2	Helix-turn-helix domains{3}	ARID domain factors{3.7}	ARID-related factors{3.7.1}	ARID5{3.7.1.5}	ARID5B (DESRT, MRF2){3.7.1.5.2}	ARID5B, isoform 1{3.7.1.5.2.1}:ARID5B, isoform 2{3.7.1.5.2.2}:ARID5B, isoform 3{3.7.1.5.2.3}		
ARNT	ARNT_HUMAN	P27540	ARNT:BHLHE2	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	PAS domain factors{1.2.5}	Arnt-like factors{1.2.5.2}	Arnt (HIF-1beta){1.2.5.2.1}	Arnt long, isoform 1{1.2.5.2.1.1}:Arnt short, isoform 2{1.2.5.2.1.2}:Arnt, isoform 3{1.2.5.2.1.3}	bHLH	HLH
ARNT2	ARNT2_HUMAN	Q9HBZ2	ARNT2:BHLHE1:KIAA0307	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	PAS domain factors{1.2.5}	Arnt-like factors{1.2.5.2}	Arnt-2{1.2.5.2.2}	Arnt-2, isoform 1{1.2.5.2.2.1}:Arnt-2, isoform 2{1.2.5.2.2.2}	bHLH	HLH
ARNTL	BMAL1_HUMAN	O00327	ARNTL:BHLHE5:BMAL1:MOP3:PASD3	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	PAS domain factors{1.2.5}	Arnt-like factors{1.2.5.2}	ArntL (BMAL1){1.2.5.2.3}	BMAL1A{1.2.5.2.3.1}:BMAL1B{1.2.5.2.3.2}:BMAL1C{1.2.5.2.3.3}:BMAL1D{1.2.5.2.3.4}:BMAL1E{1.2.5.2.3.5}:BMAL1F{1.2.5.2.3.6}:MOP3{1.2.5.2.3.7}:BMAL1 / ArntL isoform 8{1.2.5.2.3.8}:BMAL1 / ArntL isoform 9{1.2.5.2.3.9}	bHLH	HLH
ARRB1	ARRB1_HUMAN	P49407	ARRB1:ARR1								
ARX	ARX_HUMAN	Q96QS3	ARX	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	ARX{3.1.3.3}	ARX{3.1.3.3.1}		Homeodomain	Homeobox
ASCL1	ASCL1_HUMAN	P50553	ASCL1:ASH1:BHLHA46:HASH1	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	MyoD / ASC-related factors{1.2.2}	Achaete-Scute-like factors{1.2.2.2}	ASH-1 (ASCL1){1.2.2.2.1}		bHLH	HLH
ASCL2	ASCL2_HUMAN	Q99929	ASCL2:BHLHA45:HASH2	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	MyoD / ASC-related factors{1.2.2}	Achaete-Scute-like factors{1.2.2.2}	ASH-2 (ASCL2){1.2.2.2.2}		bHLH	HLH
ASH2L	ASH2L_HUMAN	Q9UBL3	ASH2L:ASH2L1								
ASXL1	ASXL1_HUMAN	Q8IXJ9	ASXL1:KIAA0978								
