Motif_name	Motif_ID	TF_Species	TF_ID	Family_ID	TSource_ID	MSource_ID	DBID	TF_Name	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID.1	Motif_Type	MSource_Identifier	MSource_Type	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	uniprot.Swiss-Prot	uniprot.TrEMBL
M00056_2.00_PHO2_Saccharomyces_cerevisiae	M00056_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS01_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	PHO2_2074	PBM	Badis08	PBM	19111667	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00172_2.00_Hoxa3_Mus_musculus	M00172_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS02_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Hoxa3_2783	PBM	Badis09	PBM	19443739	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00380_2.00_Lhx2_Mus_musculus	M00380_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Lhx2_0953	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00383_2.00_Hoxa4_Mus_musculus	M00383_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Hoxa4_3426	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00384_2.00_Meox1_Mus_musculus	M00384_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Meox1_2310	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00388_2.00_Mnx1_Mus_musculus	M00388_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Hlxb9_3422	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00398_2.00_Vax1_Mus_musculus	M00398_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Vax1_3499	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00400_2.00_Phox2a_Mus_musculus	M00400_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Phox2a_3947	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00401_2.00_Phox2b_Mus_musculus	M00401_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Phox2b_3948	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00402_2.00_Alx3_Mus_musculus	M00402_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Alx3_3418	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00403_2.00_Hoxa2_Mus_musculus	M00403_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Hoxa2_3079	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00406_2.00_Lhx9_Mus_musculus	M00406_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Lhx9_3492	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00413_2.00_Barx1_Mus_musculus	M00413_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Barx1_2877	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00414_2.00_Msx2_Mus_musculus	M00414_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Msx2_3449	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00417_2.00_Otp_Mus_musculus	M00417_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Otp_3496	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00422_2.00_Hoxc5_Mus_musculus	M00422_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Hoxc5_2630	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00424_2.00_Esx1_Mus_musculus	M00424_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Esx1_3124	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00426_2.00_Rax_Mus_musculus	M00426_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Rax_3443	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00429_2.00_Msx3_Mus_musculus	M00429_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Msx3_3206	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00430_2.00_Lhx4_Mus_musculus	M00430_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Lhx4_1719	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00431_2.00_Prrx1_Mus_musculus	M00431_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Prrx1_3442	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00432_2.00_Lmx1a_Mus_musculus	M00432_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Lmx1a_2238	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00434_2.00_Lhx6_Mus_musculus	M00434_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Lhx6_2272	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00435_2.00_Lhx3_Mus_musculus	M00435_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Lhx3_3431	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00439_2.00_Shox2_Mus_musculus	M00439_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Shox2_2641	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00442_2.00_Nkx1.1_Mus_musculus	M00442_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Nkx1-1_3856	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00443_2.00_Uncx_Mus_musculus	M00443_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Uncx4	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00446_2.00_Pdx1_Mus_musculus	M00446_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Ipf1_3815	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00448_2.00_Nobox_Mus_musculus	M00448_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Og2x_3719	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00452_2.00_Isx_Mus_musculus	M00452_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Isx_3445	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00457_2.00_Barx2_Mus_musculus	M00457_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Barx2_3447	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00459_2.00_Vsx1_Mus_musculus	M00459_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Vsx1_1728	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00462_2.00_Gbx2_Mus_musculus	M00462_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Gbx2_3110	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00464_2.00_Vax2_Mus_musculus	M00464_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Vax2_3500	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00467_2.00_Arx_Mus_musculus	M00467_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Arx_1738	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00469_2.00_Gsx2_Mus_musculus	M00469_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Gsh2_3990	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00471_2.00_Alx1_Mus_musculus	M00471_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Cart1_0997	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00472_2.00_Alx1_Mus_musculus	M00472_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Cart1_1275	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00478_2.00_Hoxa5_Mus_musculus	M00478_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Hoxa5_3415	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00479_2.00_Hoxb4_Mus_musculus	M00479_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Hoxb4_2627	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00480_2.00_Hoxb5_Mus_musculus	M00480_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Hoxb5_3122	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00482_2.00_Lmx1b_Mus_musculus	M00482_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Lmx1b_3433	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00484_2.00_En2_Mus_musculus	M00484_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	En2_0952	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00486_2.00_Prrx2_Mus_musculus	M00486_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Prrx2_3072	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00487_2.00_Alx4_Mus_musculus	M00487_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Alx4_1744	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00495_2.00_Emx2_Mus_musculus	M00495_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Emx2_3420	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
M00498_2.00_Prop1_Mus_musculus	M00498_2.00	Homo_sapiens	T209902_2.00	F223_2.00	TS12_2.00	MS06_2.00	ENSG00000171540	OTP	I	Homeodomain	Homeobox	1	0.598692764790911	Prop1_3949	PBM	Berger08	PBM	18585359	None	SimilarityRegression	0	Ensembl	http://www.ensembl.org/	Q5XKR4	None
