M00056_2.00	M00056_2.00_PHO2_Saccharomyces_cerevisiae	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00172_2.00	M00172_2.00_Hoxa3_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00380_2.00	M00380_2.00_Lhx2_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00383_2.00	M00383_2.00_Hoxa4_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00384_2.00	M00384_2.00_Meox1_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00388_2.00	M00388_2.00_Mnx1_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00398_2.00	M00398_2.00_Vax1_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00400_2.00	M00400_2.00_Phox2a_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00401_2.00	M00401_2.00_Phox2b_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00402_2.00	M00402_2.00_Alx3_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00403_2.00	M00403_2.00_Hoxa2_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
M00406_2.00	M00406_2.00_Lhx9_Mus_musculus	OTP	Homeodomain	Homeobox	Q5XKR4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	PBM	SimilarityRegression	inferred
